"id";"title";"date";"created_at";"updated_at"
146;"Jan 2018 Issue";"2018-01-01";"2018-01-04 11:46:14.708963";"2018-01-04 11:46:14.708963"
147;"Feb 2018 Covers";"2018-02-01";"2018-02-05 06:02:53.258239";"2018-02-05 06:02:53.258239"
148;"Feb 2018 Issue";"2018-02-01";"2018-02-05 06:10:59.934664";"2018-02-05 06:10:59.934664"
149;"Mar 2018 Covers";"2018-03-01";"2018-03-03 05:05:08.875669";"2018-03-03 05:05:08.875669"
150;"Mar 2018 Issue";"2018-03-01";"2018-03-03 05:17:01.428657";"2018-03-03 05:17:01.428657"
151;"Apr 2018 Covers";"2018-04-01";"2018-04-03 04:49:46.248752";"2018-04-03 04:49:46.248752"
152;"Apr 2018 Issue";"2018-04-01";"2018-04-03 06:37:51.296362";"2018-04-03 06:37:51.296362"
153;"May 2018 Covers";"2018-05-01";"2018-05-05 03:58:31.129356";"2018-05-05 03:58:31.129356"
154;"May 2018 Issue";"2018-05-01";"2018-05-05 04:06:23.777521";"2018-05-05 04:06:23.777521"
155;"Jun 2018 Covers";"2018-06-01";"2018-06-05 16:48:41.879823";"2018-06-05 16:48:41.879823"
156;"Jun 2018 Issue";"2018-06-01";"2018-06-05 17:44:18.570709";"2018-06-05 17:44:18.570709"
158;"Jul 2018 Covers";"2018-07-01";"2018-07-03 16:49:37.442842";"2018-07-03 16:49:37.442842"
159;"Jul 2018 Issue";"2018-07-01";"2018-07-03 20:16:37.653258";"2018-07-03 20:16:37.653258"
160;"Aug 2018 Covers";"2018-08-01";"2018-08-03 05:19:45.539332";"2018-08-03 05:19:45.539332"
161;"Aug 2018 Issue";"2018-08-01";"2018-08-03 05:39:38.327518";"2018-08-03 05:39:38.327518"
162;"Sep 2018 Covers";"2018-09-01";"2018-09-06 21:06:51.134621";"2018-09-06 21:06:51.134621"
163;"Sep 2018 Issue";"2018-09-01";"2018-09-06 21:23:13.543194";"2018-09-06 21:23:13.543194"
164;"Oct 2018 Covers";"2018-10-01";"2018-10-04 02:56:38.700135";"2018-10-04 02:56:38.700135"
165;"Oct 2018 Issue";"2018-10-01";"2018-10-04 03:03:50.876864";"2018-10-04 03:03:50.876864"
199;"Nov 2018 Covers";"2018-11-01";"2018-11-04 00:25:46.481427";"2018-11-04 00:25:46.481427"
200;"Nov 2018 Issue";"2018-11-01";"2018-11-04 00:33:45.816152";"2018-11-04 00:33:45.816152"
201;"Dec 2018 Covers";"2018-12-01";"2018-12-04 13:04:23.817941";"2018-12-04 13:04:23.817941"
202;"Dec 2018 Issue";"2018-12-01";"2018-12-04 13:13:16.146792";"2018-12-04 13:13:16.146792"
203;"Jan 2019 Covers";"2019-01-01";"2019-01-03 06:07:28.848351";"2019-01-03 06:07:28.848351"
204;"Jan 2019 Issue";"2019-01-01";"2019-01-03 06:16:50.238025";"2019-01-03 06:16:50.238025"
237;"Feb 2019 Covers";"2019-02-01";"2019-02-03 10:09:45.261043";"2019-02-03 10:09:45.261043"
238;"Feb 2019 Issue";"2019-02-01";"2019-02-03 10:59:35.206436";"2019-02-03 10:59:35.206436"
239;"Mar 2019 Covers";"2019-03-01";"2019-03-03 20:43:37.038255";"2019-03-03 20:43:37.038255"
240;"Mar 2019 Issue";"2019-03-01";"2019-03-03 20:58:47.581386";"2019-03-03 20:58:47.581386"
241;"Apr 2019 Covers";"2019-04-01";"2019-04-03 21:55:05.885242";"2019-04-03 21:55:05.885242"
242;"Apr 2019 Issue";"2019-04-01";"2019-04-03 22:03:33.80034";"2019-04-03 22:03:33.80034"
243;"May 2019 Covers";"2019-05-01";"2019-05-02 08:09:08.520166";"2019-05-02 08:09:08.520166"
244;"May 2019 Issue";"2019-05-01";"2019-05-02 16:19:02.412404";"2019-05-02 16:19:02.412404"
246;"Jun 2019 Covers";"2019-06-01";"2019-06-06 11:49:11.512978";"2019-06-06 11:49:11.512978"
247;"Jun 2019 Issue";"2019-06-01";"2019-06-06 11:56:33.031506";"2019-06-06 11:56:33.031506"
248;"Jul 2019 Covers";"2019-07-01";"2019-07-08 04:18:30.247929";"2019-07-08 04:18:30.247929"
249;"Jul 2019 Issue";"2019-07-01";"2019-07-08 04:31:45.503548";"2019-07-08 04:31:45.503548"
250;"Aug 2019 Covers";"2019-08-01";"2019-08-03 20:17:46.044138";"2019-08-03 20:17:46.044138"
251;"Aug 2019 Issue";"2019-08-01";"2019-08-04 07:33:50.227824";"2019-08-04 07:33:50.227824"
252;"Sep 2019 Covers";"2019-09-01";"2019-09-04 03:33:07.934686";"2019-09-04 03:33:07.934686"
253;"Sep 2019 Issue";"2019-09-01";"2019-09-04 03:42:07.714185";"2019-09-04 03:42:07.714185"
257;"Dec 2019 (Notice/ Thông Báo)";"2019-12-30";"2019-09-10 08:17:18.569905";"2019-12-03 18:03:59.392037"
259;"Oct 2019 Covers";"2019-10-01";"2019-10-03 22:45:21.762599";"2019-10-03 22:45:21.762599"
260;"Oct 2019 Issue";"2019-10-01";"2019-10-03 22:53:46.133416";"2019-10-03 22:53:46.133416"
261;"Nov 2019 Covers";"2019-11-01";"2019-11-03 20:33:11.167581";"2019-11-03 20:33:11.167581"
262;"Nov 2019 Issue";"2019-11-01";"2019-11-03 20:44:36.960339";"2019-11-03 20:44:36.960339"
263;"Dec 2019 Covers";"2019-12-01";"2019-12-03 17:25:14.261319";"2019-12-03 17:25:14.261319"
264;"Dec 2019 Issue";"2019-12-01";"2019-12-03 17:31:45.888756";"2019-12-03 17:31:45.888756"
